text,page_number,book,chapter
"    CHAP. VIII.] DYNASTIES IN SPAIN. 109    “ said in reply,—‘ O Prince of the believers! the individual thou hast chosen is  “no doubt an able and very worthy man, but he is exceedingly poor, and  ‘whoever has not an independent fortune to live upon ought by no means to  “be imtrusted with the decisions of the law, and be made the judge between  ‘the Moslems ; especially if thou wishest him to derive utility and profit from  ‘his office, and yet to be just and impartial in his judgments when he has  “to decide between the executors*® of a will and the heirs appointed in it.’  “On hearing this Al-hakem kept silence, and did not seem inclined to accept of  “their remonstrances ; on the contrary, he appeared to be angry and disappointed  “at seeing the doctors oppose his will. The counsellors then left the room, and  “ Al-hakem remained thoughtful, until his son ’Abdu-r-rahmdén, who succeeded  “him in the empire, happening to come in, and seeing sorrow and anger on his  “countenance, inquired the cause of it. ‘ What ails thee, O father! who has  “displeased thee ?? ‘ Hast thou not seen,’ said Al-hakem, ‘ those whom I  “extolled and raised above all others, and whom I have distinguished so far as  “to consult them on matters which neither concerned them, nor affected them  “in the least, wishing us to turn our faces from our intention, and shutting  “upon us the gates of intercession ?’—and then he told his son what had  “occurred. ‘O, father!’ replied ’Abdu-r-rahmdn, ‘thou art the dispenser of  “ justice, and thy uprightness exceeds that of any other Sultan on the earth ;  “in appointing and distinguishing the men of whom thou now complainest,  “thy object was, no doubt, not to raise and extol them, but to honour science  “through their means; so I see no remedy for it unless thou removest them  “from their situations, and take away their dignities and honours to confer  ‘them on ignorant people.’ ‘ Certainly not,’ said Al-hakem, ‘that I will  “never do.’ ‘ Well, then,’ continued his son, ‘ be just with them, and since  “science and virtue have no other language, leave them im their offices, that  “they may enjoy the pleasures of this world, and afterwards participate in the  “blessings of the other.’ ‘Thou art right, son!’ interrupted Al-hakem. ‘ As  “to the objection raised by them,’ continued ’Abdu-r-rahman, ‘ respecting  “the scantiness of his means, and his liability to be corrupted, the remedy rests  ‘in thy hands, and thou mayest stop their mouths by a single act of thy wonted  “ generosity.’ ‘ And what is that?’ replied Al-hakem. ‘ Give to thy protégé,’  “ answered ’Abdu-r-rahmén, ‘ from thy treasury, a sufficient sum to enable him to  “ fill his station with honour ; this will remove all the scruples of thy advisers,  “and will, besides being an action in which none of thy predecessors surpassed  “thee, raise thee highly in the estimation of thy subjects.’ ‘ Well said,’ ex-  “claimed Al-hakem, his countenance suddenly brightening with joy and satis-",163,book_1,chapter_8
"    Taxes.    110 HISTORY OF THE MOHAMMEDAN [BooK 1.    “* faction ; ‘ come to me, I see that generosity is natural to thee; and that the  “ poet was right who said—  ‘The sons of kings are generous and magnificent lords; the smallest  ‘among them is greater than the greatest of his subjects.’   “ After this, Al-hakem ordered ’Abdu-l-m4lik Ibn Habib into his presence,  ‘“and asked him how much he thought would be sufficient for the support of a  “ functionary in that situation; and when the sum was fixed by ’Abdu-1-mélik,  “the Khalif issued an order on his treasury for the amount; and not only was  “the allowance paid regularly out of the royal coffers as long as the judge  “ lived, but he himself rose high in the estimation and favour of his sovereign,  “‘who gave him a horse out of his own stables, and conferred on him all sorts  “of honours and distinctions. And this was certainly a noble and generous  “ action, the merits of which cannot be concealed, nor its memory be obliterated  “by time. Thus provided with means sufficient to resist the temptations of  “bribery, and having sufficient piety and virtue to avoid the committing of  “acts offensive to God, and the requisite learning to guide him through the  “‘maze of legal decisions, and to inspire him with equitable sentences in all  “ trials and judgments, the new functionary fulfilled his duties in the most steady  “and upright manner, and his legal decisions became so many oracles among  “those of his profession.”   In the first years of the conquest the Moslems of Andalus were subject to  the payment of those legal taxes designated in the Sunnah, and which every  Moslem is bound to contribute. This, joined to certain customs paid by the  Jews and Christians, was more than sufficient to meet the expenses of the court  and carry on the government, but in latter times the splendour assumed by  the Sulténs of the family of Merw4n, their prodigality towards the learned, and  the numerous armies they were obliged to keep constantly on foot, made it  necessary for them to impose new tributes on their Moslem subjects, although  every exaction of the kind is expressly forbidden by the text of the law. The  amount of taxes thus collected in the time of the Sultans of the house of Umeyyah  has been differently estimated by various writers. The geographer Ibnu Haukal  says that under ’Abdu-r-rahmdén I. they amounted only to 300,000 dinars, a  sum which was collected from the principal cities according to their trade and  the wealth of their inhabitants, each contributing a fixed quota towards the making  up of the total sum. The contributions thus levied were divided into three equal  portions : one-third was spent in the maintenance of the army ; another went to  pay the salaries of civil officers and judges, and to defray all the expenses of  the administration ; while the remainder was deposited in the coffers of the Khalif",164,book_1,chapter_8
"    CHAP. VIII.] DYNASTIES IN SPAIN. . 111    to meet cases of emergency, sudden invasions of the enemy, and so forth. But,  in our opinion, this statement is not correct; Ibnu Haukal can only speak of  the legal tax called zakah,** and not of all the other contributions, or else they  were enormously increased under the reign of his successors, for we are told that  under ’Abdu-r-rahmdén al-ausatt*® the sums levied amounted to one million of  dinars every year, and that under his father’s administration they were computed  at seven hundred thousand, which makes more than double the sum stated by  that geographer. Moreover, the revenues of Andalus must have increased in a  still greater proportion under his grandson ’Abdu-r-rahman III., since, in the  words of Ibn Khallekén, Ibnu Bashkiwél, and other historians, they are said to  have amounted to five millions four hundred and eighty thousand din4rs,“ without  including in that sum either the duties raised on all articles of sale, or the con-,  tribution called al-mostkhaldss,““ which amounted to seven hundred and sixty-five  thousand dinars. But of this more will be said when we come to the reign of  *Abdu-r-rahman An-nassir.",165,book_1,chapter_8
"    Religion.    Orthodox  sects.    112 HISTORY OF THE MOHAMMEDAN [Book 1.    BOOK II.    CHAP. I.    Religion—Orthodox sects—That of Malik Ibn Ans—When introduced—Faquirs—Costume of the An-  dalusians—Their weapons and equipments in time of war—Their eminent qualities—Their similarity to  the Greeks—Their skill as workmen—They teach the Africans the useful arts of life.    Ir now behoves us to say something on the manners and customs of the inhabitants  of Andalus ; their piety, their aptitude for the sciences, their courage, their gene-  rosity, their wit, and a thousand eminent qualities by which they have become  famous among the nations. We shall begin with their attachment to the internal  dogmas as well as the exterior practices of religion. This may be said, in a certain  measure, to have been more or less strong according to time and circumstances,  and to have been determined by the religious habits and the conduct of the head of  the state himself. However, it must be owned that, with a few exceptions, the  precepts of religion were always held in the greatest awe and veneration, and all  innovations or heretical practices abhorred and looked upon with contempt.  Indeed, the disapprobation of the people in matters of this kind was so strong,  that we are told by the historians of the time that it would have been a dangerous  thing for any theologian, whatever might have been his birth or authority, to show  the least deviation from the true spirit of religion; and that had a favourite or a  relation of the Khalif been guilty of any heretical practice, and had the Sultan  countenanced him in it, or not shown in some way his censure, the mob would  have soon penetrated into his strong palace, and, in spite of his body-guard, seized  on their victim, torn him to pieces, or expelled him from the city. This was of  frequent occurrence during the reign of the Beni Umeyyah, as also the pelting  of judges and governors whenever the inhabitants thought that proper justice  was not given to them in their trials, or that they were despotically treated by  their rulers.   In former times the Andalusians, like the inhabitants of Syria, followed the",166,book_2,chapter_1
"    CHAP. 1.] DYNASTIES IN SPAIN. 113    sect of Al-auzd’ei,' but during the reign of Al-hakem, son of Hishdm, son of  *Abdu-r-rahmdn Ad-dakhel, the third Sultan of the family of Merwadn in Andalus,  some learned doctors began to utter legal decisions in conformity with the opinions  of Malik Ibn Ans and the people of Medina, whose doctrines soon became known  and spread all over Andalus and Africa; the change being in a great measure  brought on by Al-hakem’s conviction and firmness. There are various opinions  entertained as to the reasons which induced the Sultan to make that innovation;  the most current being that several Andalusian doctors happening to go to Medina,  and having become acquainted with the Im4m Malik, then residing in that city,  and having heard from his own mouth the exposition of his sublime doctrines,  were deeply impressed with their truth, and on their return to Andalus began to  spread and preach them every where, expatiating in praise of their master, boasting  of his virtues, his influence, his wide-spread fame, and the high estimation in  which he was held by all classes of the people. This having reached the ears of  Al-hakem, he held several conferences with them, and the result was that, being  convinced of the purity and advantages of their doctrines, he issued immediate  orders for the establishment of the sect of Mélik Ibn Ans throughout his do-  minions. : ;   Others assert that the Imam Malik having once interrogated an Andalusian  doctor, whom he happened to meet at Medina, as to the habits and mode of  life of the sovereigns of the house of Merwdn, was very much surprised and  gratified to hear that Al-hakem led a most exemplary and irreproachable life,  offering a contrast to the conduct of the ’Abbasside Khalifs, and especially of Abi  Ja’far Al-mansir, who, as is well known and may be read in the history of the  time, was then persecuting the descendants and partisans of ’Ali, casting them into  prison, and subjecting them to all manner of ill treatment, for which reason  Malik never failed to censure his proceedings: hearing, therefore, of the praise-  worthy conduct of Al-hakem Ibn Hishdém, he is said to have exclaimed in rapture,  ‘God grant that he may be one of ours,” or words to that purport.? This wish  having been communicated to the Sultén by the doctor in whose presence it was  expressed, they say that Al-hakem, who was already informed of the great repu-  tation which his virtues and sanctity had gained him, decided immediately upon  adopting the sect of Mélik and forsaking that of Al-auzé’ei. Among the Anda-  lusian doctors who contributed most efficaciously to bring about this change, either  by their words or by their writings, are counted ’Abdu-l-mdlik Ibn Habib, Yahya  Tbn Yahya Al-leythi, and Zey4d Al-lakhmi; but of this more will be said  hereafter.®   We find that in Andalus, as in the East, faquirs might be found in great   VOL. I. Q    Sect of Malik  Tbn Ans.    When intro-  duced.    Faquirs.",167,book_2,chapter_1
"    114 HISTORY OF THE MOHAMMEDAN [Book 11.    numbers ; they wore their general dress called darwdzah,* but so tattered and torn  that it almost fell to pieces. There, as in the East, they were well acquainted with all  the arts and tricks of their profession, and knew how to give the face the appearance  of extreme hunger, in order to beg in the streets and market-places ; indeed their  filthiness and impudence seem to have been beyond description. However, we are  inclined to believe that they never were so numerous as in the East, nor did they  obtain in Andalus the same success which they had there, for Ibnu Sa’id tells us  that it was a general rule among his countrymen not to encourage idleness by  bestowing alms on people capable of gaining their livelihood by labour, and that if  an Andalusian happened to meet a strong and healthy man under such a disguise, he  would, instead of giving him alms, abuse him, and, by denouncing him to the  magistrates, have him cast into prison ; this is the reason why beggars were at all  times scarce in Andalus,—those, however, always excepted, who, through some  corporeal defect, could not earn their living. However, the judgment that we  have passed on the faquirs of Andalus must be applied to the generality, not to all,  for there were among them men who, moved by sentiments of piety and devotion,  left the world and its vanities, and either retired to convents to pass the remainder  of their lives among brethren of the same community, or, putting on the darwdzah  and grasping the staff of the faquir, went through the country begging a scanty  pittance, and moving the faithful to compassion by their wretched and revolting  appearance. The following anecdote, which we extract from the celebrated work by  Ar-ré’ii, entitled ‘‘the book of luminous introduction to the knowledge of those  ‘ qualities which a faquir ought to have,’’® will convey some idea of their customs  and habits. ‘‘ It happened once,” says that author, ‘“ that the Sherif Abd-l-ma’Ali,  “son of Abi-l-k4sim Al-hiseyn, Kédi-l-kod4 of Granada,® and commentator of  “ the Al-khazrajlyeh, and the Makssirah’ of Hazem, a man not only illustrious by  “his birth,—for both his father and mother were descendants of Hasan, and  ‘* consequently of the family of the Prophet,—but by his virtues and eminent  “ qualities, renounced at once all his dignities and employments, and gave himself  “up entirely to devotion and abstinence. Being a man of profound learning and  “* great piety, of amiable disposition and courteous manners, he won the esteem of  “« every one of his fellow-citizens, and became the object towards which the fingers of  ‘the people of this world and of the world to come were universally pointing. He  “« had a brother whose name was Abi-l-’abbés Ahmed, K4di of a town in the eastern  “ districts of Andalus, but who was then residing in Granada; with him Abi-l-  “‘ ma’4li dwelt, but he would never eat any thing in his house because he was in  “the employment of the Sultan: he would, whenever he felt hungry, go to his  “« brother, and say to him, ‘ Brother, I am hungry, give me a dirhem that I may buy",168,book_2,chapter_1
"    CHAP. 1.] DYNASTIES IN SPAIN. 115    “ food,’ and he used to go to market, and procure such provisions as he most  “wanted. In this way he lived for several years, persevering in his resolution,  “and depriving himself of every one of the comforts which the world bestows,  “ until one day he bent his steps towards a convent in the outskirts of Granada,  “called Zdwiyatu-l-mahrik (the convent of the burnt),® and addressing himself  “to its inmates, whose superior at the time was Abi Ja’far Ahmed Al-mahdiid, he  “* said to them, ‘ My friends! I had a lamp to light myself with, and I have lost it,  “so that I cannot see at all;’ and the superior replied to him, ‘O Sherif! I cannot  “answer thee, but the first man who happens to come here shall do it to thy  “* gatisfaction.” Few minutes had elapsed before one of the many holy men who  “‘ used to visit the convent made his appearance, and sat himself by the side of  “ Abi Ja’far, who addressed him thus,—' Brother, this Sherif has just now put a  “‘ question to our community, and I have told him that the first man who should  “enter here would answer it for him; so hear what he has got to say, and reply  “to him.’ Abi-l-ma’éli then repeated his words,—‘ I had a lamp to light myself  “with, and I have lost it, so that I cannot see at all:’ the stranger then said,  “* Well, that only shows a breach of discipline, thou must tell me more:’ then  “ Abé-l-ma’4li said, ‘I do not remember any fault I have committed, unless it be  “that when so and so incurred the displeasure of the Sultan, and concealed himself  “ for fear of the approaching chastisement, I passed one day by his house, and he  “ called me through the wicket of his door, and begged me to pray to God in his  “ behalf, and I said to him—repeat such and such a prayer,—meaning one which  “* contains all the illustrious names of the Almighty God, and which is well known  “to be an efficacious remedy against all calamities present and to come; a prayer  “ which is recorded by Al-biini in his Al-muntekhab,® and has repeatedly produced  “the most miraculous effects, and was communicated to me by my brother Ahmed  “ Ash-sherif, who had it from one of his disciples.’ When the faquir heard this,  “ he said, ‘ And when this took place hadst thou permission to admonish him ?’  “© No,’ answered Abii-l-ma’éli. ‘Well then,’ said the faquir, ‘it is of no use  “asking for thy lamp, thou shalt never recover it, and the light shall never be  “ restored to thee, for thou hast committed a breach of the rules which every  “faquir ought to observe.’ And so it happened; for some time after this  “ Abi-l-ma’4li returned to the world, and, putting an end to his austerity and  ‘ abstinence, accepted the office of Kdédi which was offered to him, and served  “ kings, ate at their tables, and accepted their presents. This anecdote is well  “known all over Granada, as well as Abi-l-ma’éli’s apostacy. We humbly  “ beseech God not to make us one of the number of those who are banished from  “his grace and favours!”",169,book_2,chapter_1
"    Costume of  the Andalu-  sians.    116 HISTORY OF THE MOHAMMEDAN (Book 11.    - “ The inhabitants of Andalus,” says Ibnu Sa’fd, ‘dress somewhat differently  “ from their Moslem brethren of Asia. They have left off the turban, especially  ‘in the eastern provinces; in the western, however, it is still used by people  “of rank and wealth, or those holding situations under government.{ Thou wilt  “never see in Cordova or in Seville a K4di or a Faquih without his turban; in  ‘* Valencia, Murcia, and other provinces of the east of Spain, on the contrary, it is  ‘* quite common to see men of the highest rank walk about the streets with bare  ‘heads; as to the lower classes, they never use the turban. I recollect once  “seeing in Murcia one of the most distinguished and respected Ulemas of the city  “ appear before the Sultén who then reigned in those districts; he wore nothing  “on his head, and his white hair, shining bright among his black locks, had the  “* most ludicrous appearance. Military officers, soldiers, and men of the inferior  “classes, have likewise left it off, even in the western provinces. Ibn Hid,”  “formerly King of Saragossa, and who in our days reduced to obedience the  “greatest part of Andalus, never used a turban; I accompanied him in most  ‘of his military expeditions, and always saw him without it. I might say the  “same of Ibnu-l-ahmar, who is the present ruler of this country.   “* The cloak called taylasdn™ is used by all classes of the people, men of rank  ‘as well as plebeians, so that thou wilt never see an Andalusian go out into the  ‘ street without having his cloak on, the only difference being that Sheikhs and  “‘ other people of distinction throw their hood over their heads, whilst common  “ people never do so. Woollen caps are generally used as a substitute for turbans ;  ‘« the colours most worn are either red or green; yellow is reserved for the Jews,  “‘ who, on no occasion, are allowed to use any other. The hair is cut short, only  “ Kaédis and Ulemas wear it long; but instead of letting it hang over their  ‘shoulders, as is the fashion in the East, they wear it loose underneath the  “* left ear. ;   “Even the people who use turbans follow a fashion of their own, and seem  ‘entirely to disregard the multifarious shapes used by people of rank and dis-  “ tinction in other Moslem states ; so if an eastern Arab happens to come among  “ them, wearing a turban in the Syrian or Hejazi fashion,—and large high things  “they are, looking like towers,—they will show great astonishment, and appear  “much struck with the novelty; but instead of admiring its shape and structure,  * they will burst out laughing, and jest at the expense of the wearer, for in general  “the Andalusians are very slow in adopting the fashions of other nations, and  “‘ neither admire nor like any thing but their own. They are also the cleanest  “people on earth in what regards their person, dress, beds, and in the interior  “ of their houses ; indeed, they carry cleanliness to such an extreme that it is not",170,book_2,chapter_1
"    cHaP. 1.] DYNASTIES IN SPAIN. 117    “an uncommon thing for a man of the lower classes to spend his last dirhem in  “soap instead of buying food for his daily consumption, and thus go without  “his dinner rather than appear in public with dirty clothes.   Sultans, military officers, and even the common soldiers, followed the fashions Hates  of the infidels; in time of war, especially, they wore a dress very similar to in time of war.  that of the Christians, their neighbours. They used likewise the same weapons,  and, like them, were clad in mail, over which they threw a short scarlet tunic,  in the Christian fashion. They fought on horseback with shield and spear,  but knew not how to use either the mace or the bow of the Arabs; instead of  which they adopted the cross-bow of the Franks, and used it in sieges, or in  marches, to defend the infantry from the attacks of cavalry, for without that  requisite they would certainly be defeated. However, we are informed by Ibnu-  l-khattib that under the Merinite Sulténs, who reigned at Granada, the Anda-  lusian troops were again clad and armed in the real Arabic fashion; instead  of the heavy steel helmet and thick breast-plate of their ancestors, they then  wore a slender head-piece, and a thin but well-tempered cuirass; instead of  the huge spear with a broad end in the Christian fashion, they took the long  and slender reed of the Arabs, and they substituted for the clumsy and ill-shaped  Christian saddle the more military-looking and more convenient horse furniture  of the inhabitants of Arabia.'?   The character of the Andalusian Arabs has been thus described by Ibnu Ghélib To eminent  in his Kitdb > forjati-l-anfus (the book of contentment of the soul), a work to’ anes  which we have more than once referred in the course of our narrative. ‘‘ The  “ Andalusians,” sseye<he; “ are Arabs by descent, in pride, in the haughtiness of  “their temper, the elevation of their minds, the goodness of their heart, and  “the purity of their intentions; they resemble them in their abhorrence of every  “thing that is cruel or oppressive, in their inability to endure subjection or  “contempt, and in the liberal expenditure of whatever they possess. They are  “Indians in their love of learning, as well as in their assiduous cultivation of  “ science, their firm adherence to its principles, and the scrupulous attention  “with which they transmit down to their posterity its invaluable secrets. They  “are like the people of Baghddd in cleanliness of person and beauty of form,  ‘Celegance of manners, in mildness of disposition, subtilty of mind, power of  “thought, extent of memory, and universality of talent. They are Turks in  “ their aptitude for war, their deep acquaintance with every one of its stratagems,   “and their skilful preparation of the weapons and machines used in it, as well  “as their extreme care and foresight in all matters concerning it. They have  “been further compared with the Chinese (by an Andalusian author named",171,book_2,chapter_1
"    Their simila-  rity to the  Greeks.    Skill of their  workmen.    118 HISTORY OF THE MOHAMMEDAN {Book 11.    “‘ Tbnu Hazm) for the delicacy of their work and the subtilty of their manufactures,  “and their dexterity in imitating all sorts of figures. And, lastly, it is generally  ** asserted that they are of all nations that which most resembles the Greeks  “* in their knowledge of the physical and natural sciences, their ability in discovering  “‘ waters hidden in the bowels of the earth, and bringing them to the surface ; their  ‘“‘ acquaintance with the various species of trees and plants, and their several  “ fruits, and their industry in the pruning and grafting of trees, the arrangement  “and distribution of gardens, the treatment of plants and flowers, and all and  “every one of the branches of agriculture: indeed, so great is their proficiency  “in this science that it has almost become proverbial, and some eminent  “‘ writers among them have composed works which are generally approved of  “and consulted in the East and in the West. Such is the treatise on agriculture  “by Ibn Bassdl,'S an Andalusian, which is in the hands of every farmer, and  “the merits of which have been sufficiently appreciated by all those who have  “* followed its valuable instructions. The Andalusians, moreover, are the most  “* patient of men, and the fittest to endure fatigue ; they are thereby well qualified  “for labour of every description ; they likewise show great inclination for war,  ‘* and have on all occasions proved to be active, brave, and intelligent soldiers}”’   Various authors have dwelt at large on the great similarity existing between  the Andalusian Moslems and the Greeks, but it is easily accounted for by the  circumstance that the Greeks for a long time inhabited Andalus, and the Moslems  became thereby the inheritors of all their knowledge in the sciences.   Tbnu Ghélib continues, ‘‘ We may enumerate among the eminent qualifications  ‘of the inhabitants of Andalus that of having been the inventors of the species  ** of verse called al-muwashahah, which has not only been approved of by Eastern  “ critics, but adopted and used by their poets, and made the theme of public  “ literary competitions. As to their poems in the common kinds of metre, and  “their works in prose, nobody who has read them will deny that they stand high  “in the scale of merit.   “The skill of their workmen in all kinds of handicraft has been sufficiently  “acknowledged by travellers from the East, and other Mohammedan countries,  ‘‘who have lived among them; many are the articles now manufactured in  “ Andalus which are in high repute, and form the staple of considerable trade  ‘with Moslems and Christians: Africa may be said to have derived its present  “wealth and importance, and its extent of commerce, from Andalusians settling  “in it. For when God Almighty was pleased to send down on their country  “the last disastrous civil war, thousands of its inhabitants of all classes and  “* professions sought a refuge on these’® shores, and spread over Maghrebu-l-aksdé",172,book_2,chapter_1
"    CHAP. 1.] DYNASTIES IN SPAIN. 119    “and Africa proper, settling wherever they found comfort or employment.  “Labourers and country people took to the same occupations which they had  “left in Andalus,—they formed intimacy with the inhabitants, assisted them in  “ their agricultural labours, discovered springs, and made them available for the  “irrigation of their fields, planted trees, introduced water-mills,® and other  “useful inventions ; and, in short, they taught the African farmers many things  “they had never heard of, and showed them the use of excellent practices  ‘“‘ whereof they were completely ignorant. Through their means the countries  “where they fixed their residence became at once prosperous and rich, and  “ the inhabitants saw their wealth increase rapidly, as well as their comforts and  “* enjoyments. ‘   “The inhabitants of cities being for the most part well educated people, and  “ being versed in all the branches of learning and polite literature, soon made  “themselves conspicuous and known at court, or in the chief towns where  “they settled. They filled posts of distinction in the state, and were appointed  “to the charges of Wizirs, Katibs, governors of provinces and districts, tax  “collectors, and other offices under government, so that there was no district  “in Africa wherein some of the principal authorities were not Andalusians.   ‘« But it was in the class of operatives and workmen in all sorts of handicrafts They teach the  “ that Africa derived the most advantage from the tides of emigration setting towards etic  “its shores. It is well known that before the arrival of the Andalusians many  “of the trades which are now in a flourishing state were hardly known in Africa,  “and that in activity and dexterity the emigrants ranked far above the native  “workmen. So, for instance, if they undertook the building of an edifice they  “ completed it in the shortest possible time, and finished every thing so beautifully,  “and with such a perfection of design, that they won the hearts and affections  “of their employers, and their reputation grew immense among the people ;  “these being notorious facts, which none but the ignorant or the ill-intentioned  “could deny.”   Such are Ibnu Ghdlib’s expressions, transcribed literally from Ibnu Sa’id’s work,  where they may be found, with other curious information on the subject. The latter  author himself, making as it were a comment on Ibnu Ghalib’s words, and recording  some of the good qualities which the Andalusians were known to possess, adds as  follows: ‘‘ God Almighty knows it is not my intention to flatter my countrymen,  “but mierely to state the truth, following those impartial writers who are neither  “ carried away by the love of their country, nor diverted from truth through envy  “or malevolence ; my motto shall be, ‘ the path of truth is the surest path to  “ follow.’'7_ Perhaps some of my readers, in perusing the account I have just",173,book_2,chapter_1
"    120 HISTORY OF THE MOHAMMEDAN [Book 1.    “ given, in the words of Ibnu Ghalib, of the revolution created by the Andalusian  ‘* emigration in the trade and agriculture of Africa, will say to themselves,—this  “‘ author was undoubtedly partial towards his countrymen, and he exaggerated  “their merits; but let them plunge into his book, let them weigh every one of  “his expressions, and compare his narrative with those of other writers, and they  _ will soon feel convinced that he spoke the truth, and they will, if necessary,  ‘“‘ quote his words without fear.  ‘When they directed their looks towards Leylah, and saw the beauty of  ‘her face, they were confirmed in their belief, and  ‘ They exclaimed, We have still fallen short in our praises of thee.’ !®   “‘ T cannot deny,” continues Ibnu Sa’id, ‘‘ for the sake of truth and justice, that  “ Morocco is the Baghdad of the West; it is the largest city on this coast, as  “ likewise that which abounds most in public works, splendid buildings, palaces, and  “gardens. Yet it is a known fact that the capital of Al-maghreb was never so  “ flourishing as under the reign of the Beni ’Abdi-l-mimen, who took thither  ‘* workmen and operatives from all parts of their Andalusian dominions. This is  “‘ notorious, and needs no confirmation: the same might be said of the city of  “ Tunis, in Africa proper, to which in my times the prosperity and splendour of  ““ Morocco may be said to have migrated, owing to the present Sultan, Abi  “« Zakariyya Yahya Ibn Abi Mohammed Ibn Abi Hafs,’® having fixed his court  “in it. This prince has erected buildings, constructed palaces, and planted  “‘ gardens and vineyards in the Andalusian fashion: all his architects are natives  “« of this country, as likewise most of his masons, carpenters, bricklayers, painters,  ‘“‘ and gardeners. The plans were either designed by Andalusians or copied from  “ buildings in their country ; and although the Sultan himself is a very good judge  “in these matters, and has an exquisite taste, yet it is well knot that the  “‘ mosques, palaces, and gardens erected by him, and so much admired by the  *« Africans, are mere copies of similar buildings in our country. So, as far as   “ this goes, it is clearly demonstrated that Ibnu Ghdlib told the truth.”",174,book_2,chapter_1
"    CHAP. I1.] DYNASTIES IN SPAIN. 121    CHAPTER II.    Character of the Andalusians—Their hospitality—Their courage in battle—Their haughtiness of  temper—Devotion to their friends—Their justice—Forgiveness—Generosity.    Tue qualities of the Andalusians are as brilliant and manifest as the beauties of Character of  the country they inhabit are shining and conspicuous. The same author that sians.  we have mentioned elsewhere (Ibnu Ghalib) affirms, on the authority of Ptolemy,  that, owing to the influence exercised by the planet Venus, the people of Andalus  are endowed with a lively imagination, elegance of manners, exquisite taste in  food, clothing, and whatever concerns their persons, cleanliness, and love of  pleasure and music. Mercury imparts to them inclination to economy and’  orderly habits, ardour in the acquisition of learning, love of philosophy and the  natural sciences, justice and impartiality in their judgments.   Tbnu Ghalib goes on detailing the qualities which are assigned to the Andalusians  on account of the influence exercised over them by Vulcan, Saturn, and Jupiter ;  but in this the author was wrong, since it is well known that only the fourth  and fifth climates pass over Andalus, the sixth passing close to its northern shores,  and the seventh by the islands of the Majis. The Sun is the planet of the fourth  climate, Venus of the fifth, Mercury of the sixth, and the Moon of the seventh ;  as to the second and third, they are in no way connected with Andalus.   We shall now enumerate some of their brilliant qualities, which we shall illustrate  by examples, that they may be more deeply impressed on the minds of our readers.  The Andalusians were justly renowned for their hospitality towards strangers, and Hospitality.  their histories abound in acts which rank them far above the other Moslems in  the exercise of that virtue. It is said of the Khalif ’Abdu-r-rahmdn III. that  on the arrival of Zary4b, the musician,’ at Cordova, he not only rode forth himself  to receive and welcome him, but entertained him for several months in his own  palace, and made him considerable presents; an action which is praiseworthy  enough in an equal, but which in a superior, and a Sultan so powerful and   VOL, 1. 2 R",175,book_2,chapter_2
"    122 HISTORY OF THE MOHAMMEDAN [Book 11.    dreaded as ’Abdu-r-rahmén, who was the first of his family to assume the titles  of Khalif and “ Prince of the faithful,” and whose court shone as bright as the  dazzling rays of the summer sun, surpasses all encomium.   The geographer Al-bekri, in his description of Africa, mentions another instance  of remarkable hospitality on the part of the same Sultén. Having heard that  Mohammed Ibn ’Abdillah Ibn Abi ’Isa, Kéddt-l-jemd’h (or supreme judge) at Fez,  intended to cross over from Ceuta, the place of his residence, to Andalus, in  order to engage in some military expeditions against the Christians, he -ordered  that he should be written to in his name, pressing him to come, and apprising  him that he was not to lodge any where during his travels but in houses belonging  to the Sultén. Accordingly, between Algesiras, the place of his landing, and  Baldt Hamid,’ a place in the furthest frontier, where-the army was then encamping,  palaces were built by ’Abdu-r-rahmén’s orders, in which Mohammed was duly  received and lodged. The expenses of the erection of the palaces, thirty in number  (one for each day or station), being one thousand mithcals each.   “The Andalusians,” says Ibnu Sa’id, ‘‘ are both economical and orderly in  “ their habits; they are very careful of whatever property they possess, a circum-  ** stance which has induced some authors to stigmatize them as misers.   “Tn illustration of this I shall here relate an adventure which occurred to me  “‘ whilst in Andalus. I was once travelling with my father in one of the eastern  “ provinces when we were caught in a storm of rain and wind. It was then  “winter, and the cold was intense; the clouds poured down upon us more  “‘ water than the Nile itself has in its bed. Lightning crossed our sight, thunder  “ roared over our heads, we were wet through and perishing with cold, so that  “we determined upon directing our steps to a neighbouring village, and asking  ‘hospitality from the first inhabitant we should meet. It must be observed  “that both my father and I were at that time under the jealous vigilance* of  “the Sultén, and unprovided with sufficient means to take any other determi-  “nation. We therefore went to a house and knocked at the door; the owner,  ‘“‘a respectable old man, whom we had never seen before, soon opened it and  ‘admitted us into his house ; he received us with great kindness, and said soon  “ afterwards, ‘ If you have any money to give me I will buy charcoal and light  “a fire, that you may dry your clothes and warm yourselves; I will also go to  “market and get such provisions as you may want, and my people will dress  “them for you.’ We did what we were desired,—we gave him money to make  ‘‘ his purchases, and he soon came back and lighted a very good fire. While  ““we were warming ourselves at it, in came a young lad, apparently a son of  “our host, who, approaching the fire, began to warm himself, but no sooner",176,book_2,chapter_2
